Nombre,Direccion,Latitud,Longitud,Estrellas,Tipo_hospedaje,Impuestos,Precio_final
Suites Elba,Calle Rio Elba No 31,19.4252778056002,-99.1752293,5,"1 noche, 1 persona",176,1076
HauSuites Santa Fe,Prol. Reforma No. 1190,19.36095,-99.26998,4,"1 noche, 1 persona",162,990
Hotel Zocalo Central,Cinco de Mayo No. 61 Centro Historico,19.433932,-99.13504,4,"1 noche, 1 persona",1098,6726
Hotel Roosevelt,Insurgentes Sur Num. 287 Delegacion Cuauhtemoc,19.415617,-99.165824,3,"1 noche, 1 persona",144,877
Hotel Puerto Mexico,"Puerto México # 54, Peñón de los Baños",19.4354,-99.0864,3,"1 noche, 1 persona",103,630
Sheraton Mexico City Maria Isabel Hotel,Av. Paseo de la Reforma 325,19.4282029,-99.1672382,6,"1 noche, 1 persona",343,2097
St Isidro Corporate Housing,San Isidro 63 ,19.43382,-99.21238,NA,"1 noche, 1 persona",261,1593
Ibis Styles México Zona Rosa,Liverpool 115 A Col Juarez,19.425025,-99.16298,3,"1 noche, 1 persona",197,1201
Hotel Del Prado,Av Marina Nacional 399,19.4365583113268,-99.1713964639557,5,"1 noche, 1 persona",202,1238
Portonovo Hotel & Suites,Viaducto Miguel Aleman No. 645,19.40299,-99.159443,4,"1 noche, 1 persona",136,831
Hostal CASA MX alameda,"Calle Soto 72, Guerrero, 06300 Ciudad de México, CDMX, Mexico",19.4401224312721,-99.144719,NA,"1 noche, 1 persona",27,160
Hotel PF,"Avenida Florencia No. 61 Colonia Juarez, Delegacion Cuahutemoc, Mexico DF",19.42367650856,-99.1661383558197,4,"1 noche, 1 persona",167,1016
Hotel Antas,"Miguel Negrete 9, Centro, Zona Centro",19.4336,-99.1238,2,"1 noche, 1 persona",80,486
Condesa 185,Benjamin Franklin 185,19.40485,-99.17467,4,"1 noche, 1 persona",117,672
Hotel Carlota,Río Amazonas No. 73,19.4305014,-99.1635389,5,"1 noche, 1 persona",269,1646
Casa Tamayo,220 Calle Pdte. Carranza Santa Catarina,19.348348,-99.167371,3,"1 noche, 1 persona",221,1351
Napoles Condo Suite,Dakota 95 Torre C nucleo B,19.396575,-99.175607,4,"1 noche, 1 persona",137,787
Holiday Inn Hotel & Suites Medica Sur,Puente De Piedra 150,19.29641,-99.16071,5,"1 noche, 1 persona",304,1854
Residence L'Heritage Royal Colonial by BlueBay,Alfredo Musset 38,19.4330349075821,-99.1967853123788,4,"1 noche, 1 persona",201,1227
Hotel Real del Sur,Av. División del Norte,19.320648,-99.138298,4,"1 noche, 1 persona",171,1042
Lepanto,Guerrero No 90 ,19.4422069078208,-99.1483019222505,3,"1 noche, 1 persona",112,692
City Express Plus Periferico Sur Tlalpan,Blvd Adolfo Ruiz Cortines No. 4860,19.2840639,-99.1447644,4,"1 noche, 1 persona",232,1420
Hacienda Peña Pobre,Camino Santa Teresa 480-2,19.296134,-99.188884,5,"1 noche, 1 persona",557,3408
Suites Ganges,Rio Ganges N°32 entre Rio Nazas,19.4293256,-99.1749849,4,"1 noche, 1 persona",159,968
Holiday Inn Mexico City - Plaza Universidad,Parroquia 1056,19.367926,-99.162611,4,"1 noche, 1 persona",220,1345
Privada de Horacio 18 Residences,18 Privada Horacio,19.434919,-99.210951,3,"1 noche, 1 persona",311,1904
Suites Lerma,Río Lerma No. 205,19.427799,-99.16999,5,"1 noche, 1 persona",141,861
Hotel Bristol México,Plaza Necaxa # 17,19.431167,-99.166787,4,"1 noche, 1 persona",138,838
CAPITAL OGoldsmith 126,Goldsmith 126,19.433166,-99.200596,3,"1 noche, 1 persona",152,930
"Kali Escandón, Mexico City",Av Jose Martí No 178 Col Escandon,19.4020090411985,-99.1775395505981,4,"1 noche, 1 persona",187,1135
Hotel Plaza Delta,Avenida Cuauhtémoc #489,19.400716,-99.15591,3,"1 noche, 1 persona",124,759
Suites Obelisk,Julio Verne 28 y 30,19.428107,-99.197442,5,"1 noche, 1 persona",381,2328
Hotel Centro Diana,Av. Universidad 1861,19.34285,-99.18149,2,"1 noche, 1 persona",117,717
Hotel Ritz Mexico City,"Av Francisco I. Madero 30, Centro, Cuauhtémoc, 06000 Del. Cuauhtémoc, Distrito Federal, México",19.43371,-99.13794,4,"1 noche, 1 persona",178,1088
Hotel Plaza Solis,Antonio Solis Obrera,19.409653,-99.139689,4,"1 noche, 1 persona",85,510
Hotel Valle de Mexico Toreo,Av. 1o de Mayo No. 15,19.465077,-99.226015,3,"1 noche, 1 persona",148,905
Holiday Inn Express Mexico Aeropuerto,Rio Churubusco 253 ,19.400579,-99.098895,3,"1 noche, 1 persona",235,1435
Hotel Castropol,Pino Suarez No 58 Col Centro,19.4269619523523,-99.1327573888855,3,"1 noche, 1 persona",115,701
Holiday Inn Suites Zona Rosa,Londres No 15 Col Juarez,19.4283965427002,-99.1581121017225,4,"1 noche, 1 persona",187,1137
Hotel Monarca,Av. Alvaro Obregón 32,19.418825,-99.156151,3,"1 noche, 1 persona",108,657
City Express Ciudad de México Alameda,"Revillagigedo 23, Colonia Centro, Centro, 06090 Ciudad de México, CDMX, México",19.4333964697881,-99.1461822453689,4,"1 noche, 1 persona",180,1100
Mansion Papilio,5 de Frebrero #28,19.34643,-99.16269,4,"1 noche, 1 persona",709,4338
Close To You By Residence LHeritage,"Calle Torcuato Tasso 325, Polanco",19.432359,-99.18354,3,"1 noche, 1 persona",283,1733
Hotel La Rosa Adults Only,Calle Eligio Ancona 269,19.4536,-99.1629,NA,"1 noche, 1 persona",85,521
Hotel Oslo,Eje Central Lazaro Cardenas No.337,19.404114,-99.144967,3,"1 noche, 1 persona",143,868
Hotel Metropol Mexico DF,Luis Moya 39,19.43287,-99.14514,3,"1 noche, 1 persona",133,805
Hotel Montreal,"Calz. de Tlalpan 2073, Esq. Miguel A. de Quevedo, Col. Parque San Andrés, Delg. Coyoacán",19.343812,-99.144548,4,"1 noche, 1 persona",97,591
Hotel Monaco,Avenida Guererro 12 Colonia Buenavista,19.438674410461,-99.149114782209,4,"1 noche, 1 persona",127,768
Design Hotel MUMEDI,74 Av Francisco I. Madero Centro,19.433336,-99.13457,4,"1 noche, 1 persona",541,3312
Hotel Mexicali,"San Antonio Abad No 285,Ciudad de México, México D.F., México",19.407823,-99.1357672,3,"1 noche, 1 persona",95,579
Capital O Andrade,"Dr. Andrade 69, Doctores",19.420789,-99.1456923633814,3,"1 noche, 1 persona",86,522
Hotel Diligencias,Belisario Dominguez No. 6,19.438832,-99.13963,3,"1 noche, 1 persona",97,593
Finca Coyoacan,243 Calle Xicoténcatl Del Carmen,19.35398,-99.158294,3,"1 noche, 1 persona",254,1464
Distrito Condesa,Cholula 62,19.40848,-99.17464,3,"1 noche, 1 persona",254,1557
Hotel Lord,Dr. Velasco No. 17,19.41906,-99.14486,4,"1 noche, 1 persona",94,574
Roomies Hostel Condesa,Calle Chiapas No. 173,19.41208,-99.16417,2,"1 noche, 1 persona",29,172
Hotel Principal,Bolivar 29,19.43292,-99.13849,2,"1 noche, 1 persona",58,350
Hotel & Villas Panama,Eje 3 Norte  Avenida Cuitlahuac 2701,19.462217,-99.177453,4,"1 noche, 1 persona",115,701
Maison Salamanca,35 Calle Salamanca Roma Norte,19.420511,-99.170097,3,"1 noche, 1 persona",219,1338
Hotel San Francisco Centro Historico,Luis Moya # 11,19.433975,-99.144941,3,"1 noche, 1 persona",150,918
Hotel Canada,"Av. 5 de Mayo 47,centro historico",19.4339847487642,-99.1357257613769,3,"1 noche, 1 persona",164,1002
Anys Bed and Breakfast,"Puebla 263, Colonia Roma Norte",19.42154,-99.168204,3,"1 noche, 1 persona",79,483
Casa Colima,COLIMA 226 COLONIA ROMA NORTE,19.419201,-99.162475,3,"1 noche, 1 persona",235,1439
Casa Kanabrí Hostal Boutique,169 Av. Paseo de la Reforma Cuauhtémoc,19.431152,-99.160206,2,"1 noche, 1 persona",59,359
Hotel Roble,"Uruguay No. 109, Col. Centro",19.42995,-99.13275,3,"1 noche, 1 persona",100,606
Hotel Amala,Av. Periferico Sur 7685,19.29438,-99.10266,4,"1 noche, 1 persona",192,1176
Hotel MX lagunilla,Eje Central LÃ¡zaro CÃ¡rdenas 84,19.44259,-99.139917,4,"1 noche, 1 persona",123,753
Hostel Amigo,Isabel La Católica 61,19.430016,-99.136801,NA,"1 noche, 1 persona",32,195
CAPITAL SUITES LUXURY RESIDENCES AND OFFICES,Medellín 184,19.41265,-99.1646215,4,"1 noche, 1 persona",225,1375
Motel Nuevo Tijuana - Adults Only,Ramos Millan 9,19.38316,-99.13998,3,"1 noche, 1 persona",92,563
Hostal Vallejo,1660 Calz. Vallejo Santa Rosa,19.519422,-99.1639,3,"1 noche, 1 persona",99,604
Hotel Universal,Calzada de Guadalupe No. 25,19.45294,-99.12923,1,"1 noche, 1 persona",46,281
Calle Berlin,Berlin 84B,19.35673,-99.15747,3,"1 noche, 1 persona",103,630
Collection O Arboleda 215,Arboleda 215A Lomas De Chapultepec,19.4307031,-99.2089588,3,"1 noche, 1 persona",193,1181
Hotel Vermont,VERMONT NO 29 - COL NAPOLES - MEXICO CITY DF MX 03810,19.3974077097253,-99.1728175214958,4,"1 noche, 1 persona",164,1001
Hotel El Salvador,calle República del Salvador # 16,19.43021,-99.14059,3,"1 noche, 1 persona",98,601
Colibrí B&B,Galicia 429,19.388836,-99.146152,3,"1 noche, 1 persona",91,555
Hotel Catedral,95 Donceles Col. Centro,19.435676,-99.133059,4,"1 noche, 1 persona",215,1314
Capital O Dakota B&B,Milwaukee 14,19.38796,-99.17875,3,"1 noche, 1 persona",368,2252
Hippodrome Hotel Condesa,Av. Mexico 188 ,19.4136886,-99.1679518,5,"1 noche, 1 persona",472,2891
Marquis Sky Suites,"Av. Paseo de la Reforma 465, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",19.42491,-99.173615,5,"1 noche, 1 persona",945,5786
Suites Newton,Newton N46,19.430844,-99.192083,3,"1 noche, 1 persona",231,1331
Punto MX Hotel,Calle República de Uruguay 47 ,19.4303862,-99.1377027,3,"1 noche, 1 persona",236,1445
Hotel Isabel,Isabel La Catolica N° 63,19.42982,-99.13683,3,"1 noche, 1 persona",94,574
Hotel Siesta Del Sur,Av. Tlahuac 5393 Colonia Los Olivos,19.303734,-99.058276,3,"1 noche, 1 persona",107,654
Londres 212,212 Londres Juárez,19.423355,-99.168152,NA,"1 noche, 1 persona",199,1216
Casa Hidalgo,167 Av Miguel Hidalgo Del Carmen,19.350854,-99.156936,3,"1 noche, 1 persona",137,837
Mansion Havre,Havre 40,19.42658,-99.161119,NA,"1 noche, 1 persona",108,658
Suites Giorgio,Rio Lerma #166,19.4281602,-99.1712694,4,"1 noche, 1 persona",150,934
Hotel Valle del Sur,"Eje 3 Oriente, Av. Arneses #311",19.346107,-99.112104,3,"1 noche, 1 persona",131,801
SATYA SUITES,252 Sagredo,19.36115,-99.18846,NA,"1 noche, 1 persona",272,1658
Hotel SR92,Calle de Francisco Díaz Covarrubias 92,19.437275,-99.167591,3,"1 noche, 1 persona",80,490
Hotel Torremolinos,339 Av. Cuitláhuac Pro Hogar,19.473862,-99.158711,3,"1 noche, 1 persona",98,601
Golds 227,227 Goldsmith. Polanco III Section,19.43537,-99.200435,3,"1 noche, 1 persona",124,758
Cuarto Ideal para Estudiantes,501 Paseo de Los Ahuehuetes Norte,19.41324,-99.23635,2,"1 noche, 1 persona",97,551
Hotel Quinta Tlalpan,Calz. de Tlalpan,19.2984,-99.150833,3,"1 noche, 1 persona",123,751
Hotel Ancona,226 Calle Eligio Ancona,19.45307,-99.16093,3,"1 noche, 1 persona",61,371
Hotel Clé,"Napoles 62 Col. Juárez, Delegación Cuauhtemoc. CP. 06600 Ciudad de México",19.430432,-99.136779,4,"1 noche, 1 persona",190,1157
Hotel Suites Marne,"Río Marne No. 12, Col. Cuauhtémoc",19.431402,-99.161382,3,"1 noche, 1 persona",128,781
Hotel Menara,88 Calle Nezahualcóyotl Centro,19.425391,-99.137828,3,"1 noche, 1 persona",86,526
Hotel Principal Junior,"Calle de Bolívar 29, Centro Histórico, Centro, 06000 Centro, CDMX, México",19.432934,-99.13876,1,"1 noche, 1 persona",50,300
Nilo 33,33 Río Nilo Cuauhtémoc,19.429087,-99.172121,3,"1 noche, 1 persona",158,965
Wanderlust District,Avenida Chapultepec 141,19.425509,-99.156185,2,"1 noche, 1 persona",57,347
Torre Sagredo,253 Sagredo Guadalupe Inn,19.361314,-99.18849,3,"1 noche, 1 persona",188,1150
Casa Pepe,Av Republica de Uruguay 86,19.43029,-99.13443,3,"1 noche, 1 persona",65,398
City Suites Santa Fe,Juan Salvador Agraz No. 69,19.3590639403742,-99.2782956222072,4,"1 noche, 1 persona",225,1371
Suites Boutique Dawat,"Calle Nueva York 154, Nápoles",19.392269,-99.177362,3,"1 noche, 1 persona",233,1448
Villas y Suites Real Azteca,"Calz. de Tlalpan 3441, Sta. Úrsula Coapa, 04650 Ciudad de México, CDMX, México",19.303362,-99.14622,4,"1 noche, 1 persona",215,1315
Villas Princess Hotel,Viad. Río de la Piedad 367,19.4053,-99.1155,3,"1 noche, 1 persona",127,775
Honey Loft - Terraza Privada,12BIS Arturo Ibáñez La Concepción,19.34806,-99.160257,3,"1 noche, 1 persona",273,1673
Hotel Santa Cruz,Av Presidente Juárez 2009,19.523204,-99.203534,3,"1 noche, 1 persona",74,441
Capitals Luxury Apartments,5482 Periferico Sur Olímpica,19.302091,-99.166435,4,"1 noche, 1 persona",181,1106
Hotel Aquario CDMX - Central del Norte,100 Pte. 112 Panamericana,19.476907,-99.14083,3,"1 noche, 1 persona",89,541
Hotel San Lucas,6 Plaza San Lucas Cuauhtémoc,19.424466,-99.132498,3,"1 noche, 1 persona",102,622
Best Western Hotel Majestic,"Av Francisco I. Madero 73, Centro, Cuauhtémoc, 06000 Ciudad de México, Distrito Federal, México",19.433248,-99.134252,4,"1 noche, 1 persona",308,1883
Sport Aristos Hotel CDMX,Av. Río Churubusco Puerta 9 Letra F,19.3959495813485,-99.0855887532234,NA,"1 noche, 1 persona",213,1301
"Piqun Room, In The Historic Center Of Coyoacan","76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,3,"1 noche, 1 persona",337,1042
Hotel Estoril,Luis Moya 93 ,19.429016,-99.145825,4,"1 noche, 1 persona",188,1149
Sonder at Icon Condesa,57 Chicontepec,19.409608,-99.180688,5,"1 noche, 1 persona",2559,9263
Hotel Tres Colonias - Solo Adultos,132 Av. Ribera de San Cosme Cuauhtémoc,19.44274,-99.164044,3,"1 noche, 1 persona",72,441
Luxurious Designer 2BR Apt. in Polanco,"Avenida Homero 1433, 603",19.436423,-99.204581,NA,"1 noche, 1 persona",1072,3290
Hotel Suites San Marco,125 Calle Río Po Cuauhtémoc,19.42929,-99.168068,3,"1 noche, 1 persona",215,1315
Chipotle Loft In The Historic Center Of Coyoacan,"76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,3,"1 noche, 1 persona",442,1649
Hotel Lira - Solo Adultos,Gobernador José Ceballos 70,19.41,-99.1901,3,"1 noche, 1 persona",78,476
Downtown Beds,Isabel la Católica 30,19.43287,-99.13631,NA,"1 noche, 1 persona",50,303
Casa Tuna,8 Francisco Ortega CoyoacÃ¡n,19.348139,-99.1632,3,"1 noche, 1 persona",433,2653
Galeria Plaza San Jeronimo,300 Av. Contreras San Jerónimo Lídice,19.328862,-99.213277,4,"1 noche, 1 persona",239,1462
"Morita Room, In The Heart Of Coyoacn","76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,3,"1 noche, 1 persona",337,1042
Hotel Dos Naciones,Francisco Javier Mina # 13,19.4388748350954,-99.1413105512147,2,"1 noche, 1 persona",53,321
Hotel Capital DF,"Calle Tomas Alva Edison 57, Tabacalera",19.436988,-99.152083,3,"1 noche, 1 persona",98,600
Hotel La Selva,Calzada Chabacano 7,19.40828,-99.13515,1,"1 noche, 1 persona",43,262
Hotel MX Zócalo,29 2a. Cerrada 5 de Mayo Centro,19.433747,-99.135416,4,"1 noche, 1 persona",141,861
Templo Mayor,Calle del Carmen No. 26,19.436249,-99.12951,3,"1 noche, 1 persona",139,852
Loove Hotel - Adults Only,"Av. 7 No. 55, Col. Porvenir",19.411635,-99.056546,3,"1 noche, 1 persona",80,480
Hotel Dharma,Mosqueta 200,19.44544,-99.14801,3,"1 noche, 1 persona",114,692
Hotel Izta 54,Iztacchihuatl 54,19.41024,-99.16922,3,"1 noche, 1 persona",295,1807
Suites Lerma 202,Rio Lerma 202,19.42761,-99.17062,3,"1 noche, 1 persona",231,1331
Guest Green - Adults Only,Calle 9 # 89 Col. El Porvenir,19.41296,-99.0553,2,"1 noche, 1 persona",42,257
"Hip, Tech Top Floor Apt, w/ Private Terrace","Campeche 428, #5",19.410646,-99.176886,NA,"1 noche, 1 persona",1056,3677
Sonder at Icon Condesa,57 Chicontepec,19.409608,-99.180688,5,"1 noche, 1 persona",2559,9263
Hotel Tres Colonias - Solo Adultos,132 Av. Ribera de San Cosme Cuauhtémoc,19.44274,-99.164044,3,"1 noche, 1 persona",72,441
Luxurious Designer 2BR Apt. in Polanco,"Avenida Homero 1433, 603",19.436423,-99.204581,NA,"1 noche, 1 persona",1072,3290
Hotel Suites San Marco,125 Calle Río Po Cuauhtémoc,19.42929,-99.168068,3,"1 noche, 1 persona",215,1315
Chipotle Loft In The Historic Center Of Coyoacan,"76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,3,"1 noche, 1 persona",442,1649
Hotel Lira - Solo Adultos,Gobernador José Ceballos 70,19.41,-99.1901,3,"1 noche, 1 persona",78,476
Downtown Beds,Isabel la Católica 30,19.43287,-99.13631,NA,"1 noche, 1 persona",50,303
Casa Tuna,8 Francisco Ortega CoyoacÃ¡n,19.348139,-99.1632,3,"1 noche, 1 persona",433,2653
Galeria Plaza San Jeronimo,300 Av. Contreras San Jerónimo Lídice,19.328862,-99.213277,4,"1 noche, 1 persona",239,1462
"Morita Room, In The Heart Of Coyoacn","76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,3,"1 noche, 1 persona",337,1042
Hotel Dos Naciones,Francisco Javier Mina # 13,19.4388748350954,-99.1413105512147,2,"1 noche, 1 persona",53,321
Hotel Capital DF,"Calle Tomas Alva Edison 57, Tabacalera",19.436988,-99.152083,3,"1 noche, 1 persona",98,600
Hotel La Selva,Calzada Chabacano 7,19.40828,-99.13515,1,"1 noche, 1 persona",43,262
Hotel MX Zócalo,29 2a. Cerrada 5 de Mayo Centro,19.433747,-99.135416,4,"1 noche, 1 persona",141,861
Templo Mayor,Calle del Carmen No. 26,19.436249,-99.12951,3,"1 noche, 1 persona",139,852
Loove Hotel - Adults Only,"Av. 7 No. 55, Col. Porvenir",19.411635,-99.056546,3,"1 noche, 1 persona",80,480
Hotel Dharma,Mosqueta 200,19.44544,-99.14801,3,"1 noche, 1 persona",114,692
Hotel Izta 54,Iztacchihuatl 54,19.41024,-99.16922,3,"1 noche, 1 persona",295,1807
Suites Lerma 202,Rio Lerma 202,19.42761,-99.17062,3,"1 noche, 1 persona",231,1331
Guest Green - Adults Only,Calle 9 # 89 Col. El Porvenir,19.41296,-99.0553,2,"1 noche, 1 persona",42,257
"Hip, Tech Top Floor Apt, w/ Private Terrace","Campeche 428, #5",19.410646,-99.176886,NA,"1 noche, 1 persona",1056,3677
Habanero Loft-frida Kahlos Neighborhood-coyoacan,"76 Moctezuma, Del Carmen, Coyoacán",19.350817,-99.159296,4,"1 noche, 1 persona",442,1650
Hotel Señorial,Callejon de la Esperanza No. 8,19.42752,-99.13978,2,"1 noche, 1 persona",82,501
La Quinta de Xochimilco,Calle Dr M Morales 50,19.246381,-99.095778,3,"1 noche, 1 persona",210,1210
Hotel Quinta Avenida,Calle 7 no 140 Col Agricola Pantitlan,19.405919,-99.057895,3,"1 noche, 1 persona",114,694
Shunya Apartment,Calzada General Mariano Escobedo 491,19.43218,-99.18158,4,"1 noche, 1 persona",889,5122
Hotel Playa Internacional,Calle Nezahualcóyotl 52,19.42557,-99.14006,3,"1 noche, 1 persona",63,383
Premium Puerta Alameda Lofts,18 Revillagigedo Centro,19.434302,-99.145692,4,"1 noche, 1 persona",163,996
Polanco Amplio y Lindo Depto LM303,"Lamartine 248 303, Polanco V Seccion",19.433889,-99.189594,4,"1 noche, 1 persona",554,3185
Círculo Condesa,7 Calle Ometusco Hipódromo,19.408991,-99.172919,4,"1 noche, 1 persona",369,2262
San Diego,Luis Moya # 98,19.4289477,-99.1456801,3,"1 noche, 1 persona",108,661
Kali Centro Mexico City,111 Luis Moya Centro,19.428137,-99.146232,3,"1 noche, 1 persona",138,843
Suites Hamburgo,Calle Hamburgo 45,19.428353,-99.160533,3,"1 noche, 1 persona",294,1694
Casa 9,9 Cuernavaca Colonia Condesa,19.41663,-99.17408,3,"1 noche, 1 persona",1334,8173
Casa Donceles Apt 5,Donceles 26,19.436772,-99.138413,3,"1 noche, 1 persona",228,1311
Casa María Hostal,28 Justo Sierra Centro,19.435623,-99.130794,3,"1 noche, 1 persona",44,267
Casa de la Luz,Rinconada de Jesús 7,19.429539,-99.132994,4,"1 noche, 1 persona",393,2406
Downtown Blue House 3brmapt At The Heart Of Mexico,12 Calle Republica de Cuba,19.437761,-99.139473,4,"1 noche, 1 persona",691,2486
Hotel Habana,77 Calle Republica de Cuba Centro,19.436996,-99.135436,3,"1 noche, 1 persona",99,604
